,codimap_category,codimap_title,codimap_date,views,comment_numbers
234,댄디,톤온톤의 멋,21.07.05,"조회 1,231",댓글 3
235,걸리시,프레피 무드,20.11.09,"조회 1,100",댓글 3
236,캐주얼,데이트 가자,20.11.09,"조회 5,581",댓글 3
237,골프,우아한 필드 룩,21.03.22,조회 871,댓글 3
238,스트릿,힙한 매력,20.11.09,"조회 5,224",댓글 3
239,캐주얼,원 마일 웨어,21.06.16,"조회 3,157",댓글 3
240,캐주얼,비비드 포인트!,21.08.19,조회 553,댓글 3
241,캐주얼,그린 컬러 포인트,20.10.30,"조회 3,202",댓글 3
242,걸리시,프레피 무드,20.11.09,"조회 1,100",댓글 3
243,캐주얼,귀여운 포인트,21.08.18,"조회 1,626",댓글 3
244,로맨틱,단아한 무드,21.03.17,"조회 1,483",댓글 3
245,골프,귀여운 필드 룩,21.04.06,"조회 1,070",댓글 3
246,댄디,올 블랙 멋,21.08.04,"조회 1,647",댓글 3
247,걸리시,카라 원피스 연출법,21.08.18,"조회 2,627",댓글 3
248,캐주얼,옐로 컬러 포인트,21.03.18,"조회 4,597",댓글 3
249,골프,우아한 필드 룩,21.03.22,조회 871,댓글 3
250,캐주얼,편안함이 두 배!,21.03.29,"조회 21,126",댓글 3
251,비즈니스캐주얼,세련된 포멀 룩,21.08.23,"조회 3,070",댓글 3
252,스트릿,확실한 포인트,21.03.23,"조회 1,789",댓글 3
253,걸리시,상큼한 스타일링,21.04.06,"조회 2,390",댓글 3
254,캐주얼,데일리 캐주얼 룩,21.08.27,"조회 3,728",댓글 3
255,캐주얼,원 마일 웨어,21.02.24,"조회 2,678",댓글 3
256,캐주얼,봄 소풍 가는 날,21.03.17,"조회 3,636",댓글 3
257,스트릿,유니크하게 완성,21.08.23,"조회 3,911",댓글 3
258,시크,감각적인 스타일링,21.08.18,"조회 2,054",댓글 3
259,캐주얼,디테일에 반해,21.05.14,"조회 1,516",댓글 3
260,캐주얼,무난한 매치,21.09.13,"조회 13,407",댓글 3
261,캐주얼,편안한 조합,21.09.06,"조회 14,315",댓글 3
262,로맨틱,파스텔 로맨틱,21.09.30,"조회 1,443",댓글 3
263,비즈니스캐주얼,깔끔하게 출근,21.10.05,"조회 4,435",댓글 3
264,시크,시크함 가득,21.05.14,"조회 1,032",댓글 3
265,댄디,디테일의 차이,21.09.24,"조회 7,451",댓글 3
266,캐주얼,비에도 가볍게,21.10.06,"조회 3,460",댓글 3
267,비즈니스캐주얼,담백한 무드,21.11.05,"조회 2,741",댓글 3
268,비즈니스캐주얼,감각 있는 조합,21.11.01,"조회 2,286",댓글 3
269,캐주얼,간편한 셋업,21.05.17,"조회 3,069",댓글 3
270,스트릿,힙하게 마무리,21.02.09,"조회 4,095",댓글 3
271,캐주얼,모노 톤 코디,21.08.19,"조회 6,735",댓글 3
272,스트릿,그래픽 활용법,21.10.06,"조회 8,381",댓글 3
273,스트릿,시선 강탈 패션,21.11.05,"조회 3,440",댓글 3
274,캐주얼,활동성 최고!,21.05.17,"조회 4,009",댓글 3
275,로맨틱,데이트 하는 날,21.05.17,"조회 1,736",댓글 3
276,캐주얼,산뜻한 조합,21.05.04,"조회 10,034",댓글 3
277,캐주얼,데이트 가자,20.11.09,"조회 5,581",댓글 3
278,캐주얼,시원한 컬러 조합,21.06.03,"조회 1,726",댓글 3
279,댄디,마성의 조합,21.06.09,"조회 1,079",댓글 3
280,캐주얼,캠퍼스 룩 추천,21.06.09,"조회 5,022",댓글 3
281,아메카지,패턴의 매력,21.06.03,"조회 9,252",댓글 3
282,걸리시,뷔스티에 활용법,21.06.04,"조회 2,837",댓글 3
283,캐주얼,귀여운 포인트,21.01.08,"조회 2,641",댓글 3
284,아메카지,편안한 색감,21.06.15,"조회 2,335",댓글 3
285,스트릿,디테일 포인트,21.08.19,"조회 1,711",댓글 3
286,캐주얼,베스트 더하기,21.07.01,"조회 3,821",댓글 3
287,캐주얼,원 마일 웨어,21.06.16,"조회 3,157",댓글 3
288,비즈니스캐주얼,모노 톤 활용법,21.02.18,조회 849,댓글 3
289,캐주얼,추천 스타일링,21.07.02,"조회 5,136",댓글 3
290,걸리시,프레피 룩의 정석,20.11.02,"조회 3,441",댓글 3
291,캐주얼,깜찍한 포인트,21.07.13,"조회 2,362",댓글 3
292,캐주얼,상큼한 조합,21.07.09,"조회 4,538",댓글 3
293,캐주얼,돋보이는 센스,21.07.12,"조회 1,083",댓글 3
294,캐주얼,블루 포인트,21.07.09,"조회 7,492",댓글 3
295,로맨틱,데이트 가는 날,20.11.04,조회 916,댓글 3
296,캐주얼,눈에 띄는 디테일,20.11.05,"조회 3,340",댓글 3
297,캐주얼,미니멀한 조합,21.06.25,"조회 3,029",댓글 3
298,아메카지,멋진 아메카지 룩,21.07.16,"조회 5,907",댓글 3
299,캐주얼,톤온톤 좋아,21.03.09,"조회 6,022",댓글 3
